Image Id,Prompt ,Reference Answer,LLaVA-1.5-ft model response,MMHAL,GrodunginDINO errors,Aloha score,Avg Aloha scores,,
2318813,Describe the image,"kitchen, dish, plates","antique, kitchen, dishes, cooking",4,,"0.6508990526199341, 0.35524609684944153, 0.628917932510376",0.545021027,,
2318974,Describe the image,"train, subway, virgin ad, ","subway, train, red and white train, virgin",4,,"0.5528796315193176, 0.6873791813850403",0.620129406,,
2319090,Describe the image,"lobby, hotel, luggage","lobby, hotel, luggage, suitcases",4,,"1.0, 1.0, 0.9999998211860657, 0.0",0.749999955,,
2319107,Describe the image,"newspaper stand, newspaper, boxes, vending machine","newspaper stand, newspaper boxes, newspaper vending machines",5,,,0.892799608,,
2319114,Describe the image,"man, surfing, water","surfer, surfing, surf, water",5,,"0.1747508943080902, 0.6654089093208313, 1.0000001192092896",0.613386641,,
2319191,Describe the image,"teddy bear, stuffed animals, fashion show","teddy bear, stuffed animals, fashion show",5,,"1.000000238418579, 1.0000001192092896",1.000000179,,
2319265,Describe the image,"police, motorcycle, man","police, motorcycle, man",5,,"1.000000238418579, 1.0000001192092896, 1.0",1.000000119,,
2319303,Describe the image,"train, subway, people, crossing","train, subway, people, crossing",5,,"0.6456769108772278, 1.000000238418579, 0.9999998807907104, 0.9999998807907104",0.911419228,,
2319435,Describe the image,"elephant, man, green, trunk","elephant, man, green, trunk",5,,"1.0000001192092896, 0.9999998807907104, 1.0000001192092896, 0.9999998807907104",1,,
2319709,Describe the image,"airplane, american airlines, blue sky","airplane, american airlines, blue sky",5,,"0.9999998807907104, 1.0",0.99999994,,
2319808,Describe the image,"tennis, tennis player, man, tennis court","tennis, tennis player, man",4,,"1.000000238418579, 1.0000001192092896, 1.0",1.000000119,,
2320002,Describe the image,"boy, kid, wii, video games","boy, playing wii, video games",4,,"1.0000001192092896, 0.44530630111694336",0.72265321,,
2320082,Describe the image,"boat, beach, sun, water","boat, beach, sun",4,,"1.0, 0.9999997615814209, 1.0",0.999999921,,
2320120,Describe the image,"dinner, table, wine glasses, woman, flowers","dinner, table, wine glasses, flowers, woman",5,,"0.9999998807907104, 0.8243352174758911, 1.000000238418579, 0.8691095113754272",0.923361212,,
2320165,Describe the image,"clock tower, clock, tower, building","clock tower, clock, tower",4,,1.000000119,1.000000119,,
2320412,Describe the image,"sign, stop sign, octagon ","street sign, stop sign, octagon
",5,,"0.15423078835010529, 0.9999998211860657",0.577115305,,
2320425,Describe the image,"airplane, airport, stairs","airplane, airport, stairs",5,,"1.0000001192092896, 1.0, 1.0",1.00000004,,
2320577,Describe the image,"bathroom, shower, bathtub, toiletries","bathroom, shower, bathtub, toiletries",5,,"1.0, 1.0, 0.9999997615814209, 1.000000238418579",1,,
2320687,Describe the image,"fruit, vitamins, banana, oranges
","fruit, vitamins, banana, oranges
",5,,"1.0000001192092896, 1.0000001192092896, 1.000000238418579, 0.9999998807907104",1.000000089,,
2320747,Describe the image,"dental center, bus, mobile dental center","dental center, bus, mobile dental center",5,,"1.0, 1.0000003576278687, 1.0",1.000000119,,
2320772,Describe the image,"cook, restaurant, Japanese","cooking, restaurant, japanese, noodles",1,Noodles,"1.000000238418579, 1.0, 0.7744013071060181, 0.0",0.693600386,,
2320780,Describe the image,"elephant, baby elephant, adult elephant","elephant, baby elephant, adult elephant",5,,"1.0000001192092896, 0.9999997615814209, 0.9999998211860657",0.999999901,,
2320796,Describe the image,"kites, beach, windsurfing, windsurfers","kites, beach, windsurfing, windsurfers",5,,"0.9999998211860657, 0.9999999403953552, 1.0, 1.0000001192092896",0.99999997,,
2320857,Describe the image,"traffic sign, stop sign, man","traffic sign, stop sign, man",5,,"0.9999998211860657, 1.000000238418579, 1.0000003576278687",1.000000139,,
2320922,Describe the image,"boats, yacht, j.r.r. tolkien, dragon","boats, yacht, j.r.r. tolkien, dragon",5,,"0.9999998211860657, 0.9999999403953552",0.999999881,,
2321120,Describe the image,"man, suit, tie, glasses","man, suit, tie, glasses",5,,"1.000000238418579, 1.0000001192092896, 1.000000238418579, 0.9999998807907104",1.000000119,,
2321209,Describe the image,"man, computer, dark","man, computer, screen, night",3,,"0.0, 1.0000001192092896, 1.0",0.666666706,,
2321248,Describe the image,"baseball, baseball player, man, ground","baseball, baseball player, man",4,,"1.0, 1.000000238418579, 0.9999997615814209",1,,
2321268,Describe the image,"man, woman, old, couple","man, woman, old, couple",5,,"1.000000238418579, 1.000000238418579, 0.631738007068634",0.877246161,,
2321286,Describe the image,"man, snowboarding, snowboard, jumping","man, snowboarding, snowboard, jumping",5,,"1.000000238418579, 1.0000001192092896, 1.0",1.000000119,,
2321489,Describe the image,"bridge, umbrella, rain, woman","bridge, umbrella, rain",4,,"0.9999998807907104, 1.0000001192092896",1,,
2321521,Describe the image,"volleyball, beach, woman, bikini","volleyball, beach, woman, bikini",5,,"1.000000238418579, 1.000000238418579, 0.9999998807907104, 1.0000001192092896",1.000000119,,
2321584,Describe the image,"elephant, people, man and woman riding elephant, water","elephant, people riding elephant, man and woman riding elephant",4,,"1.0000001192092896, 1.0000001192092896, 1.0000001192092896, 1.000000238418579",1.000000149,,
2321697,Describe the image,"tennis, tennis player, tennis court","tennis, tennis player, man, court",4,,"0.261326402425766, 1.000000238418579, 1.0, 1.000000238418579",0.81533172,,
2321750,Describe the image,"airplane, airplanes, airplane hangar, airplane nose","airplane, airplanes, airplane hangar, airplane nose",5,,"1.0000001192092896, 1.0",1.00000006,,
2321785,Describe the image,"subway, train, red, obb","subway, train, red, obb",5,,0.687379122,0.687379122,,
2321909,Describe the image,"rain, umbrella, wet","raining, street, umbrella, wet",4,,"0.99, 1.0",0.99,,
2321970,Describe the image,"surfer, surf, beach","surfer, surf, water",4,,"0.6251574754714966, 1.0, 0.39504605531692505",0.673401177,,
2322328,Describe the image,"skateboard, grinding, rail, man","skateboard, grinding, rail, man",5,,"1.0, 1.0000001192092896, 0.9999997019767761",0.99999994,,
2322449,Describe the image,"umbrellas, raining, people, walking","umbrellas, raining, people, walking",5,,"1.0, 1.0000001192092896, 1.0000001192092896, 0.9999998807907104",1.00000003,,
2322664,Describe the image,"traffic, street, bike, blue car, road","traffic, street, bike, blue car",5,,"1.0, 0.9999998807907104, 0.9999999403953552, 1.0000003576278687",1.000000045,,
2322772,Describe the image,"hot dog, bun, ketchup, mustard","hot dog, bun, ketchup, mustard",5,,"0.9999997615814209, 1.0, 1.0, 0.9999998807907104",0.999999911,,
2322863,Describe the image,"traffic light, street light, traffic","traffic light, street light, traffic",5,,"0.9999999403953552, 0.9999998211860657, 0.9999997019767761",0.999999821,,
2322975,Describe the image,"baseball, batter, baseball game, ground","baseball, batter, baseball game",4,,"1.0, 0.9999998807907104, 0.9999998807907104",0.999999921,,
2323006,Describe the image,"road sign, stop sign, octogon, street sign","road sign, stop sign, octogon, street sign",5,,"0.9999998211860657, 0.9999998807907104, 0.9999998211860657, 1.0",0.999999881,,
2323021,Describe the image,"laptop, macbook, dell, screen","laptop, macbook, dell",4,,"1.000000238418579, 1.0000001192092896, 1.0",1.000000119,,
2323080,Describe the image,"bird, perched, rock, leaves","bird, perched, rock",4,,"1.0000001192092896, 1.0",1.00000006,,
2323266,Describe the image,"girl, skateboarding, helmet","skate park, skateboarding, skateboard, helmet",4,,"0.314387708902359, 1.0, 0.0, 0.9999997615814209",0.578596868,,
2323321,Describe the image,"graffiti, truck, grafitti","graffiti, truck, grafitti",5,,"1.0000001192092896, 0.9999997019767761",0.999999911,,
2323438,Describe the image,"baseball players, baseball, bat, teammates","baseball players, baseball, bat, teammates",5,,"0.7960015535354614, 1.0, 1.0, 0.7650840282440186",0.890271395,,
2323575,Describe the image,"airplane, fly","airplane, flying, moon",2,,"1.0000001192092896, 0.0",0.50000006,,
2323663,Describe the image,"train station, subway, train","train station, subway, train, red and white train",5,,"0.34290099143981934, 0.9999998807907104, 0.9999998211860657, 0.9999999403953552",0.835725158,,
2323691,Describe the image,"airplane, blue angels","airplane, blue angels, plane",4,,"1.0, 0.3697200417518616",0.684860021,,
2323760,Describe the image,"cake, man, woman","birthday, cake, celebration, man , woman",4,,"1.000000238418579, 1.000000238418579, 0.7639978528022766",0.921332777,,
2323900,Describe the image,"horse, jumping, hurdle, grass","horse, jumping, hurdle",4,,"1.0, 0.9999997615814209",0.999999881,,
2324022,Describe the image,"tennis,tennis  court, tennis player, match","tennis, tennis court, tennis player, tennis match",5,,"1.0000001192092896, 0.6391923427581787, 1.0, 1.0000001192092896",0.909798145,,
2324091,Describe the image,"broccoli, soup, vegetables, chicken","broccoli, soup, vegetables, chicken",5,,"0.9999998211860657, 0.9999999403953552, 0.9999999403953552, 0.9999997615814209",0.999999866,,
2324248,Describe the image,"skiing, snow, skier","skier, skiing, skis, snow",5,,"0.9999998807907104, 0.807327389717102, 1.0",0.935775757,,
2324250,Describe the image,"man, boy, cutting hair","man, boy, cutting hair",5,,"1.0000001192092896, 1.0000001192092896, 0.9999998807907104",1.00000004,,
2324368,Describe the image,"traffic sign, street sign, traffic","traffic sign, street sign, traffic",5,,"1.0, 1.0000003576278687",1.000000179,,
2324655,Describe the image,"garden, toy train, model train, backyard, trees","garden, toy train, model train, backyard",5,,"1.000000238418579, 1.0000003576278687, 0.9999997615814209, 1.0",1.000000089,,
2324667,Describe the image,"snowboarding, snow, man, boy","snowboarding, snowboard, snowboarder, snow, man, boy",5,,"0.9999999403953552, 1.0000001192092896, 1.0000001192092896, 1.000000238418579, 0.0, 0.0",0.666666736,,
2324683,Describe the image,"train, railroad, track","train, red, black, railroad",4,,"0.2009301334619522, 0.0, 0.9999999403953552, 1.0",0.550232518,,
2324695,Describe the image,"wine glass, wine, restaurant","wine glass, wine, restaurant",5,,"1.000000238418579, 1.000000238418579, 1.0",1.000000159,,
2324880,Describe the image,"train, train station","subway, train, train station",5,,"0.6418910026550293, 0.9999997615814209",0.820945382,,
2324942,Describe the image,"street sign, crosswalk, pedestrian, street","street sign, crosswalk, pedestrian, street",5,,"0.9999998807907104, 1.000000238418579, 1.0, 0.9999999403953552",1.000000015,,
2325005,Describe the image,"donut, chocolate, sprinkles","donuts, chocolate, sprinkles",5,,"0.9999998807907104, 1.000000238418579, 0.8347181081771851",0.944906076,,
2325021,Describe the image,"surfing, windsurfing, kite","kite surfing, kite, surfing, windsurfing",5,,"0.5683314204216003, 0.8994466066360474, 1.0",0.822592676,,
2325123,Describe the image,"living room, couch, coffee table, laptop","living room, couch, coffee table",4,,"1.0000001192092896, 1.0000004768371582, 1.0000001192092896",1.000000238,,
2325607,Describe the image,"man, rowing, boat, water","man, rowing, boat",5,,"0.9999998807907104, 1.000000238418579, 1.0",1.00000004,,
2326072,Describe the image,"elephant, baby elephant, hay, rock","elephant, baby elephant, hay",4,,"1.0000001192092896, 1.000000238418579, 0.9999998211860657",1.00000006,,
2326145,Describe the image,"road, trees, taxi, street, traffic light, cars","taxi, street, traffic light, cars",4,,"0.9999998807907104, 0.9999998807907104, 0.9999998807907104, 0.9999998211860657",0.999999866,,
2326172,Describe the image,"pizza, pepperoni, cheese","pizza, pepperoni, cheese",5,,"0.9999998807907104, 1.000000238418579, 1.0000003576278687",1.000000159,,
2326193,Describe the image,"road, cow, car, auto, traffic","cow, bull, car, auto",4,,"0.9999999403953552, 1.0, 0.24192386865615845, 1.000000238418579",0.810481012,,
2326339,Describe the image,"man, boy, banana peel","man, boy, banana peel, peeling",4,,"1.000000238418579, 1.0, 1.0000001192092896",1.000000119,,
2326352,Describe the image,"double decker bus, bus, man, road","double decker bus, bus, wedding, man",1,Wedding,"1.0000003576278687, 1.000000238418579, 0.999999463558197",1.00000002,,
2326442,Describe the image,"living room, girl, wii remote, wii","living room, girl, wii remote, wii",5,,"0.9999999403953552, 1.0, 1.0, 1.0000001192092896",1.000000015,,
2326480,Describe the image,"two elephants, gray","elephants, two elephants, gray",5,,1,1,,
2326510,Describe the image,"police, motorcycles, bikes","police, motorcycle, traffic",4,,"1.000000238418579, 0.4315488934516907",0.715774566,,
2326793,Describe the image,"bike, race, track","motorcycle, race, track",4,,"0.7864201068878174, 1.0",0.893210053,,
2326808,Describe the image," elephant, baby elephant"," elephants, baby elephant",5,,"1.0000001192092896, 0.9999998807907104",1,,
2326883,Describe the image,"teddy bears, stuffed animals, blue and yellow building, beach, water","teddy bears, stuffed animals, blue and yellow building, beach",4,,"0.9999998807907104, 1.0000001192092896, 0.9999998807907104, 1.0, 1.0",0.999999976,,
2326908,Describe the image,"frisbee, frisbee game,  players","frisbee, frisbee golf, frisbee game, frisbee players",5,,"0.5690895318984985, 0.35950642824172974, 1.0000001192092896, 0.9999998807907104",0.73214899,,
2327473,Describe the image,"crosswalk, street, bus, woman","crosswalk, street, bus, woman",5,,"1.000000238418579, 1.000000238418579, 1.000000238418579, 0.9999997615814209",1.000000119,,
2327514,Describe the image,"skiers, mountain, skiing, snow","skiers, mountain, skiing",4,,"0.9999998807907104, 1.000000238418579",1.00000006,,
2327609,Describe the image,"traffic, street, cars, bus","traffic, street, cars, bus",5,,"0.9999999403953552, 0.9999997615814209, 1.000000238418579, 0.9999998211860657",0.99999994,,
2327941,Describe the image,"airplane, united, airport","airplane, united, airport",5,,"1.0, 1.0",1,,
2327984,Describe the image,"zebras, two zebras, trees","zebras, two zebras, eating",4,,1,1,,
2328048,Describe the image,"men, suit, tie","man, suit, tie",5,,"1.0, 0.4158801734447479, 1.0",0.805293391,,
2328151,Describe the image,"traffic light, deer head, antlers, stop sign ","traffic light, deer head, antlers, stuffed animal",4,,"1.0000001192092896, 0.28049710392951965, 0.9999998211860657, 0.9999998807907104",0.820124231,,
2328345,Describe the image,"pizza, pepperoni, sausage, green peppers, knife, fork","pizza, pepperoni, sausage, green peppers",4,,"0.9999998211860657, 1.0, 1.0, 1.0000001192092896",0.999999985,,
2328600,Describe the image,"car wash, sign, tree","car wash, sign, pink, heart",1,Heart,"1.0000001192092896, 0.25997990369796753, 1.0",0.753326674,,
2328808,Describe the image,"ham, carrots, meat, bacon","ham, carrots, meat, bacon",5,,"0.9999998807907104, 1.0, 1.0000003576278687, 1.0000001192092896",1.000000089,,
2328880,Describe the image,"airplane, mountain, blue sky","airplane, mountain, blue sky",5,,"1.0, 1.0000001192092896, 1.000000238418579",1.000000119,,
2329100,Describe the image,"baseball players, dugout, tigers, baseball, baseball bats","baseball players, dugout, tigers, baseball",4,,"0.9999999403953552, 0.9999995231628418, 0.7650840282440186",0.921694497,,
2329148,Describe the image,"cat, park, bench, tree","cat, park, bench",4,,"0.9999998807907104, 0.9999998807907104, 1.000000238418579",1,,
2329154,Describe the image,"cat, black and white cat, sitting on a backpack","cat, black and white cat, sitting on a backpack",5,,"0.9999998807907104, 1.0, 0.9999999403953552",0.99999994,,
2329164,Describe the image,"cat, black, gray","cat, black, gray",5,,"0.0, 0.0, 0.9999998807907104",0.333333294,,
2329240,Describe the image,"toddler, baby, breakfast, bread","toddler, baby, breakfast",5,,"1.0, 0.9999999403953552, 1.0",0.99999998,,
2329514,Describe the image,"kitchen, empty, boxes, appliances, cabinets","kitchen, empty, boxes, appliances",4,,"0.28671544790267944, 1.0000003576278687, 1.0000001192092896, 0.9999999403953552",0.821678966,,
2329567,Describe the image,"skull, stop sign, graffiti","octopus, skull, stop sign, graffiti",1,Octupus,"0.9999998211860657, 1.0, 1.0, 0.17508703470230103",0.793771714,,
2329598,Describe the image,"skiing, snow, skiers, slope, trees","skiing, snow, skiers, slope",5,,"0.9999997615814209, 0.8762269020080566, 0.9999998807907104, 0.9999999403953552",0.969056621,,
2329828,Describe the image,"train, bridge, water","train, bridge, water",5,,"0.9999997615814209, 1.0000001192092896, 1.0",0.99999996,,
2329910,Describe the image,"man, laptop, typing","man, laptop, typing",5,,"1.0000001192092896, 1.0000001192092896",1.000000119,,
2330018,Describe the image,"computer, keyboard, model plane, desk","airplane, model plane, paper airplane",4,,"0.8450614213943481, 1.0, 0.3245184123516083",0.723193278,,
2330131,Describe the image,"bus, green, road","bus, green, blue, white",4,,1,1,,
2330313,Describe the image,"pizza, bicycle, old town pizza, delivery","pizza, bicycle, old town pizza, delivery",5,,"0.9999999403953552, 1.0, 0.9999997615814209",0.999999901,,
2330314,Describe the image,"cake, yellow, smiley face","cake, yellow, smiley face",5,,"0.9999998807907104, 0.0, 0.0",0.333333294,,
2330343,Describe the image,"rainbow, boats, lake, clouds","rainbow, boats, lake",4,,"1.000000238418579, 1.0000001192092896, 1.0",1.000000119,,
2330386,Describe the image,"luggage, suitcase, tag","luggage, suitcase, tag",5,,"0.9999998807907104, 1.0, 1.0000001192092896",1,,
2330552,Describe the image,"train, 551, black","train, black, 551",5,,1,1,,
2330685,Describe the image,"pier, boardwalk pier","boardwalk, boardwalk amusement pier, boardwalk pavilion, boardwalk pier",5,,"0.7224229574203491, 0.8090993165969849, 0.0",0.510507425,,
2330767,Describe the image,"men, cellphone, hair","man holding cell phone, cell phone, man",4,,"0.23282909393310547, 0.9842133522033691",0.608521223,,
2330795,Describe the image,"tea, desserts, food, garden","tea, desserts, food",4,,"0.9999998807907104, 1.0, 0.9999998807907104",0.999999921,,
2330807,Describe the image,"snowboarding, snowboard, child, adult","snowboarding, snowboard, child, adult",5,,"1.000000238418579, 1.0, 1.0, 0.9999997615814209",1,,
2330921,Describe the image,"tennis, tennis player, woman, tennis court","tennis, tennis player, woman, tennis court",5,,"1.000000238418579, 1.0000001192092896, 1.0, 1.0000001192092896",1.000000119,,
2331077,Describe the image,"girl, teddy bear, toy","teddy bear, girl, holding",4,,"1.0000001192092896, 1.0",1.00000006,,
2331255,Describe the image,"skateboarder, skateboard, man, longboard, road","skateboarder, skateboard, man, longboard",5,,"1.000000238418579, 1.0000001192092896, 0.9999998807907104, 0.9999998807907104",1.00000003,,
2331394,Describe the image,"man, looking inside window, window","man, looking out window, window",5,,"0.9999998211860657, 1.0000001192092896",0.99999997,,
2331471,Describe the image,"man, cell phone, sitting, bench, cars","man, cell phone, sitting, bench",4,,"0.9999998211860657, 1.000000238418579, 1.000000238418579",1.000000099,,
2331633,Describe the image,"desert, sand, truck, people","desert, sand, truck, suv",5,,"0.18861252069473267, 1.0, 0.9999999403953552, 1.0",0.797153115,,
2331848,Describe the image,"street light, lamp, streetlight, umbrella","street light, lamp post, streetlight, umbrella",5,,"0.9999999403953552, 0.7634735107421875, 1.0000001192092896",0.921157857,,
2331968,Describe the image,"man, truck, boat, ferry","truck, boat, ferry",4,,"0.9999997615814209, 1.0000001192092896, 1.0",0.99999996,,
2332029,Describe the image,"elephant, tree","elephant, gray, large",5,,0.999999821,0.999999821,,
2332206,Describe the image,"bus, travel, gas station","bus, onboard, travel, gas station",4,,"1.0000003576278687, 1.0000001192092896",1.000000238,,
2332298,Describe the image,"clock, wall, 63","clock, wall, numbers, 63",4,,"1.0, 0.0, 0.0, 1.0000001192092896",0.50000003,,
2332590,Describe the image,"elephant, baby elephant, adult elephant, wild","elephant, baby elephant, adult elephant",5,,"1.0000001192092896, 0.9999997615814209, 0.9999998211860657",0.999999901,,
2332811,Describe the image,"street, traffic, bike,car","street, busy, traffic, cars",2,,"1.0, 1.0, 0.9999998211860657",0.99999994,,
2332933,Describe the image,"man, pizza, food","man, pizza, food",5,,"0.9999998211860657, 1.0000001192092896",0.99999997,,
2333091,Describe the image,"high five, baseball, glove, men","high five, baseball, glove",5,,"1.0, 1.0, 1.0000001192092896",1.00000004,,
